,AGG,DBC,VIX,VTI
0,0.0430931922078624,0.189692543377428,0.256610008201975,0.5106042562127346
1,0.0,0.0,0.0603968048653149,0.939603195134685
2,0.0,0.0488215189596997,0.3983321727389332,0.5528463083013672
3,0.1680208531785119,0.070432571984374,0.2419653469428582,0.5195812278942556
4,0.0,0.0903132292603871,0.3423799343177274,0.5673068364218856
5,0.373222146302116,0.2463833419658446,0.0,0.3803945117320394
6,0.0316475146065754,0.1140259161814106,0.0328797134041572,0.8214468558078568
7,0.0017785751171463,0.1068199905930058,0.7181065542610816,0.1732948800287663
8,0.0354393551326224,0.9163484249368854,0.0482122199304921,0.0
9,0.0,0.0495679166227123,0.1378226797838977,0.8126094035933901
